id,title_es,title_en,text_es,text_en
1,La Liebre y la Tortuga,The Tortoise and the Hare,"Una liebre presumida se burlaba de la lentitud de una tortuga. Desafiada a una carrera, la liebre se durmió confiada. La tortuga avanzó paso a paso sin detenerse y ganó la carrera con constancia.","A proud hare laughed at a slow tortoise. Challenged to a race, the hare napped confidently. The tortoise crawled steadily without stopping and won the race with perseverance."
2,El León y el Ratón,The Lion and the Mouse,"Un león perdonó la vida a un pequeño ratón. Días después, el león cayó en una red. El ratón royó las cuerdas con sus dientes y liberó al gran león. Los pequeños amigos son grandes salvadores.","A lion spared the life of a tiny mouse. Days later, the lion was caught in a net. The mouse chewed the ropes with his teeth and freed the great lion. Small friends can be great saviors."
3,La Zorra y las Uvas,The Fox and the Grapes,Una zorra hambrienta vio unos racimos de uvas deliciosas que colgaban de una parra. Intentó saltar varias veces pero no pudo alcanzarlas. Se marchó diciendo que aún estaban verdes.,A hungry fox saw some delicious bunches of grapes hanging from a vine. She tried to jump several times but could not reach them. She walked away saying they were still sour.
4,El Pastorcito Mentiroso,The Boy Who Cried Wolf,"Un joven pastor gritaba que venía el lobo solo para burlarse de los aldeanos. Cuando el lobo vino de verdad, nadie creyó sus gritos de auxilio. Nadie cree a un mentiroso, incluso cuando dice la verdad.","A young shepherd cried wolf just to mock the villagers. When the wolf actually came, no one believed his cries for help. Nobody believes a liar, even when they speak the truth."
5,La Cigarra y la Hormiga,The Ant and the Grasshopper,"La cigarra cantó todo el verano mientras la hormiga trabajaba juntando comida. Al llegar el frío invierno, la cigarra tuvo hambre y aprendió que es necesario prepararse para el futuro.","The grasshopper sang all summer while the ant worked storing food. When the cold winter arrived, the grasshopper went hungry and learned that it is necessary to prepare for the future."
6,El Cuervo y la Jarra,The Crow and the Pitcher,"Un cuervo sediento encontró una jarra con poca agua. No alcanzaba el fondo, así que empezó a tirar piedras dentro de la jarra. El agua subió hasta el borde y pudo calmar su sed.","A thirsty crow found a pitcher with little water. He could not reach the bottom, so he threw stones into the jar. The water rose to the brim and he was able to quench his thirst."
7,El Viento y el Sol,The Wind and the Sun,"El viento y el sol disputaban quién era más fuerte. Decidieron probar con un viajero, intentando quitarle la capa. El viento sopló con furia pero el sol brilló con calidez y logró que se la quitara.","The wind and the sun argued over who was stronger. They decided to test it on a traveler, trying to remove his cloak. The wind blew hard but the warm sun shone and made him take it off."
8,El Ratón de Campo y el de Ciudad,The Town Mouse and the Country Mouse,"Un ratón de campo invitó a su amigo de ciudad. Comieron trigo humilde. Luego fueron a la ciudad a un banquete, pero los perros los asustaron. Es mejor comer en paz que tener lujos con miedo.","A country mouse invited his city friend. They ate humble wheat. Then they went to the city for a feast, but dogs scared them. It is better to eat in peace than to have luxury with fear."
9,La Gallina de los Huevos de Oro,The Goose that Laid the Golden Eggs,"Un granjero tenía una gallina que ponía un huevo de oro cada día. Creyendo que tenía una fortuna adentro, la mató para hacerse rico al instante. Se quedó sin riqueza y sin gallina por codicioso.","A farmer had a goose that laid a golden egg every day. Thinking she had a fortune inside, he killed her to get rich instantly. He ended up with no wealth and no goose due to his greed."
10,El Perro y su Reflejo,The Dog and His Reflection,"Un perro llevaba un trozo de carne en su hocico. Al cruzar un río, vio su reflejo en el agua y creyó que era otro perro con un trozo mayor. Soltó el suyo para robarlo y la corriente se lo llevó.","A dog carried a piece of meat in his mouth. Crossing a river, he saw his reflection and thought it was another dog with a larger piece. He dropped his to steal it, and the river swept it away."
